id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,831,ORANG,2024
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,335,ORANG,2024
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,293,ORANG,2024
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,598,ORANG,2024
167,32,JAWA BARAT,3205,KABUPATEN GARUT,328,ORANG,2024
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,84,ORANG,2024
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,110,ORANG,2024
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,135,ORANG,2024
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,400,ORANG,2024
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,261,ORANG,2024
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,197,ORANG,2024
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,573,ORANG,2024
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,390,ORANG,2024
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,295,ORANG,2024
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,886,ORANG,2024
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,893,ORANG,2024
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,153,ORANG,2024
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,55,ORANG,2024
181,32,JAWA BARAT,3271,KOTA BOGOR,411,ORANG,2024
182,32,JAWA BARAT,3272,KOTA SUKABUMI,163,ORANG,2024
183,32,JAWA BARAT,3273,KOTA BANDUNG,1400,ORANG,2024
184,32,JAWA BARAT,3274,KOTA CIREBON,208,ORANG,2024
185,32,JAWA BARAT,3275,KOTA BEKASI,825,ORANG,2024
186,32,JAWA BARAT,3276,KOTA DEPOK,405,ORANG,2024
187,32,JAWA BARAT,3277,KOTA CIMAHI,148,ORANG,2024
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,210,ORANG,2024
189,32,JAWA BARAT,3279,KOTA BANJAR,51,ORANG,2024
